moves_used,move_limit
414182,34994960
7142720,34996500
373986,34989570
1297211,35000000
441714,34997900
1311267,34991880
406184,34990025
304832,34994960
765807,34994960
1172410,34997760
216749,34999125
10092,34984040
787720,34998810
223596,34997025
139855,34999965
1012213,34991250
267811,34999685
700806,34978860
966254,34999440
63677,34986595
1013887,34990900
66963,34996500
2180473,34986735
2443481,34999685
1442058,34993070
664879,34996500
16031,34982360
748016,34992720
302762,34999965
214085,34987680
243980,34997270
393952,34998390
115319,34998950
731935,34986700
466121,34978020
748720,34979525
849760,34997025
177509,34997375
1125990,34996290
90691,34995625
1188103,34998740
842203,34990550
209325,34994960
2250823,34986000
282175,34990025
50732,34993630
480819,34977390
626278,34998075
688245,34997760
2758175,34988380
176757,35000000
911179,34999965
162592,34981100
467008,34986000
169746,34984460
260242,34998180
357138,34998810
302129,34999055
197481,34998810
622549,34998040
854014,34994540
878104,34981100
1154936,34999650
749575,34993140
547311,34989570
422315,34997200
320556,34995625
1970140,34998950
309130,34998285
541494,34991250
4457610,34997760
883951,34975920
608479,34995975
1955628,34998600
1552543,34994575
1721936,34993490
131096,34977600
1898530,34982430
1737713,35000000
2506655,34992090
371161,34995730
1235611,34995660
818538,34980960
708785,34995520
918847,34993140
1305383,34994960
3408352,34994085
148450,34993420
99639,34995345
219536,34999020
2487909,34992650
1040800,34996290
1244158,34989150
4159570,34998600
580214,34987680
120454,34980890
1730117,34997900
490270,34988240
